description,category,label
lab results revealed dna match confirmed,1,Biological Evidence
crime scene showed poison was used,1,Biological Evidence
forensics confirmed biological material recovered,1,Biological Evidence
investigators found suspect had a gun,2,Weaponry
investigators found armed robbery occurred,2,Weaponry
evidence suggests muddy footprints near the window,0,Trace Evidence
investigators found something is missing,0,Trace Evidence
footprints found,0,Trace Evidence
investigators found trail of footsteps,0,Trace Evidence
crime scene showed victim poisoned with rare toxin,1,Biological Evidence
crime scene showed financial fraud linked to suspects account,3,Digital Evidence
lab results revealed muddy footprints near the window,0,Trace Evidence
detective uncovered they found a gun,2,Weaponry
detective uncovered illegal firearm found in suspects car,2,Weaponry
he has a gun,2,Weaponry
knife at scene,2,Weaponry
lab results revealed body found with stab wounds in the cellar,2,Weaponry
crime scene showed fraud was committed,3,Digital Evidence
investigators found blood stains found on the kitchen floor,1,Biological Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
evidence suggests marks on the floor,0,Trace Evidence
crime scene showed torn piece of fabric on the fence,0,Trace Evidence
blood everywhere,1,Biological Evidence
forensics confirmed gunshot residue on the suspect hands,2,Weaponry
evidence suggests blood everywhere,1,Biological Evidence
blood at scene,1,Biological Evidence
officers noticed shotgun at the scene,2,Weaponry
crime scene showed encrypted messages found on suspects phone,3,Digital Evidence
crime scene showed blood was found at the scene,1,Biological Evidence
financial crime,3,Digital Evidence
lab results revealed explosive device found,2,Weaponry
investigators found suspect passport shows false identity,3,Digital Evidence
crime scene showed he has a knife,2,Weaponry
credit card fraud,3,Digital Evidence
officers noticed assault with a deadly weapon,2,Weaponry
strangled victim found in the library,2,Weaponry
dna found,1,Biological Evidence
forced entry,0,Trace Evidence
crime scene showed money was stolen,3,Digital Evidence
detective uncovered murder weapon hidden under floorboards,2,Weaponry
detective uncovered chair knocked over,0,Trace Evidence
forensics confirmed body found with stab wounds in the cellar,2,Weaponry
footprints found,0,Trace Evidence
surveillance footage deleted remotely,3,Digital Evidence
crime scene showed evidence of money fraud on the computer,3,Digital Evidence
forced entry,0,Trace Evidence
forensics confirmed armed suspect,2,Weaponry
officers noticed hacked into the system,3,Digital Evidence
she had a knife,2,Weaponry
detective uncovered footprints at the scene,0,Trace Evidence
evidence suggests missing pen from the desk,0,Trace Evidence
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
officers noticed he was holding a weapon,2,Weaponry
detective uncovered cigarette butt near the entrance,0,Trace Evidence
firearm recovered,2,Weaponry
investigators found suspect had a gun,2,Weaponry
window broken,0,Trace Evidence
forensics confirmed suspect passport shows false identity,3,Digital Evidence
crime scene showed stabbed with a knife,2,Weaponry
evidence suggests suspect carrying a weapon,2,Weaponry
credit card fraud,3,Digital Evidence
money fraud,3,Digital Evidence
evidence suggests cigarette butt near the entrance,0,Trace Evidence
forensics confirmed financial fraud linked to suspects account,3,Digital Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
officers noticed faint smell of perfume in the hallway,0,Trace Evidence
surveillance footage deleted remotely,3,Digital Evidence
lab results revealed signs of a struggle,0,Trace Evidence
crime scene showed financial records tampered,3,Digital Evidence
overturned chair in the kitchen,0,Trace Evidence
detective uncovered hacked into the system,3,Digital Evidence
crime scene showed weapon found nearby,2,Weaponry
detective uncovered marks on the floor,0,Trace Evidence
victim shows signs of blunt force trauma,2,Weaponry
evidence suggests faint smell of perfume in the hallway,0,Trace Evidence
crime scene showed toxicology confirms deliberate poisoning,1,Biological Evidence
investigators found suspect had a gun,2,Weaponry
financial crime,3,Digital Evidence
suspect armed,2,Weaponry
officers noticed surveillance footage deleted remotely,3,Digital Evidence
gunshot wound,2,Weaponry
investigators found victim was poisoned,1,Biological Evidence
forensics confirmed strangled victim found in the library,2,Weaponry
investigators found massive credit card fraud detected,3,Digital Evidence
investigators found missing pen from the desk,0,Trace Evidence
lab results revealed suspect carrying a weapon,2,Weaponry
there is blood on the floor,1,Biological Evidence
lab results revealed muddy footprints near the window,0,Trace Evidence
faint smell of perfume in the hallway,0,Trace Evidence
lab results revealed financial fraud linked to suspects account,3,Digital Evidence
investigators found hidden camera recorded the crime,3,Digital Evidence
investigators found assault with a deadly weapon,2,Weaponry
investigators found signs of a struggle,0,Trace Evidence
crime scene showed blood on the wall,1,Biological Evidence
investigators found poison was used,1,Biological Evidence
dna found,1,Biological Evidence
crime scene showed strangled victim found in the library,2,Weaponry
lab results revealed pistol found at scene,2,Weaponry
detective uncovered large amounts of stolen money,3,Digital Evidence
crime scene showed weapon found nearby,2,Weaponry
emails were deleted,3,Digital Evidence
detective uncovered bank account was hacked,3,Digital Evidence
officers noticed hidden camera recorded the crime,3,Digital Evidence
forensics confirmed he is armed with a gun,2,Weaponry
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
officers noticed arsenic found in the victims tea,1,Biological Evidence
evidence suggests debris in the hallway,0,Trace Evidence
lab results revealed encrypted messages found on suspects phone,3,Digital Evidence
forensics confirmed blood was found at the scene,1,Biological Evidence
evidence suggests broken coffee mug on the floor,0,Trace Evidence
crime scene showed large amounts of stolen money,3,Digital Evidence
evidence suggests explosive residue on suspects jacket,2,Weaponry
detective uncovered online transaction suspicious,3,Digital Evidence
he has a gun,2,Weaponry
forensics confirmed torn piece of fabric on the fence,0,Trace Evidence
forced entry,0,Trace Evidence
officers noticed misplaced keys on the kitchen counter,0,Trace Evidence
crime scene showed financial records tampered,3,Digital Evidence
forensics confirmed unlocked back door,0,Trace Evidence
blood at scene,1,Biological Evidence
evidence suggests they found a gun,2,Weaponry
investigators found cigarette butt near the entrance,0,Trace Evidence
blood found,1,Biological Evidence
lab results revealed victim strangled with a rope,2,Weaponry
detective uncovered they committed fraud,3,Digital Evidence
stabbed with a knife,2,Weaponry
fraud detected,3,Digital Evidence
crime scene showed unknown biological fluid on the bedsheets,1,Biological Evidence
investigators found muddy footprints near the window,0,Trace Evidence
money fraud,3,Digital Evidence
crime scene showed displaced rug near the fireplace,0,Trace Evidence
gun found,2,Weaponry
evidence suggests explosive device found,2,Weaponry
evidence suggests money was stolen,3,Digital Evidence
forensics confirmed blood spatter pattern on the wall,1,Biological Evidence
crime scene showed gunshot residue on the suspect hands,2,Weaponry
evidence suggests unauthorized bank transfer at 3 AM,3,Digital Evidence
chair knocked over,0,Trace Evidence
money fraud,3,Digital Evidence
lab results revealed blood on the wall,1,Biological Evidence
evidence suggests suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered embezzled funds and money fraud,3,Digital Evidence
investigators found clues found near the entrance,0,Trace Evidence
forensics confirmed bank account was hacked,3,Digital Evidence
forensics confirmed victim had been drugged,1,Biological Evidence
crime scene showed phone records found,3,Digital Evidence
evidence suggests camera footage exists,3,Digital Evidence
blood found,1,Biological Evidence
crime scene showed toxin detected,1,Biological Evidence
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
he has a gun,2,Weaponry
signs of struggle,0,Trace Evidence
detective uncovered money was stolen,3,Digital Evidence
evidence suggests strangled victim found in the library,2,Weaponry
surveillance footage deleted remotely,3,Digital Evidence
forensics confirmed murder weapon hidden under floorboards,2,Weaponry
officers noticed misplaced keys on the kitchen counter,0,Trace Evidence
lab results revealed digital evidence recovered,3,Digital Evidence
forensics confirmed victim strangled with a rope,2,Weaponry
investigators found evidence of a forced entry,0,Trace Evidence
he was armed,2,Weaponry
crime scene showed she pulled out a gun,2,Weaponry
detective uncovered hacked into the system,3,Digital Evidence
officers noticed strangled victim found in the library,2,Weaponry
forensics confirmed firearm recovered,2,Weaponry
blood found,1,Biological Evidence
detective uncovered torn piece of fabric on the fence,0,Trace Evidence
credit card fraud,3,Digital Evidence
evidence suggests shotgun at the scene,2,Weaponry
detective uncovered bank account was hacked,3,Digital Evidence
investigators found bloody knife found in the dumpster,2,Weaponry
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
saliva found on the discarded cigarette,1,Biological Evidence
officers noticed deleted text messages recovered from victims phone,3,Digital Evidence
evidence suggests phone records found,3,Digital Evidence
investigators found money was stolen,3,Digital Evidence
evidence suggests surveillance footage deleted remotely,3,Digital Evidence
detective uncovered encrypted messages found on suspects phone,3,Digital Evidence
lab results revealed window was broken,0,Trace Evidence
suspect armed,2,Weaponry
blood at scene,1,Biological Evidence
firearm recovered,2,Weaponry
lab results revealed a loaded gun was found,2,Weaponry
lab results revealed faint smell of perfume in the hallway,0,Trace Evidence
lab results revealed deleted text messages recovered from victims phone,3,Digital Evidence
officers noticed victim was blackmailing the suspect via email,3,Digital Evidence
forensics confirmed unknown biological fluid on the bedsheets,1,Biological Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
investigators found chair knocked over,0,Trace Evidence
officers noticed emails were deleted,3,Digital Evidence
evidence suggests traces of chloroform on the rag,1,Biological Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
officers noticed pistol found at scene,2,Weaponry
window broken,0,Trace Evidence
evidence suggests chemical substance found,1,Biological Evidence
detective uncovered blood was found at the scene,1,Biological Evidence
blood on the wall,1,Biological Evidence
signs of struggle,0,Trace Evidence
investigators found victim strangled with a rope,2,Weaponry
crime scene showed debris in the hallway,0,Trace Evidence
investigators found victim life insurance recently increased,3,Digital Evidence
detective uncovered hair sample matches suspect dna profile,1,Biological Evidence
lab results revealed trail of footsteps,0,Trace Evidence
evidence suggests hacked into the system,3,Digital Evidence
officers noticed data was stolen,3,Digital Evidence
lab results revealed victim was poisoned,1,Biological Evidence
investigators found they committed fraud,3,Digital Evidence
evidence suggests unauthorized bank transfer at 3 AM,3,Digital Evidence
officers noticed pistol found at scene,2,Weaponry
detective uncovered victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed he has a knife,2,Weaponry
faint smell of perfume in the hallway,0,Trace Evidence
poison used,1,Biological Evidence
detective uncovered calendar page torn off,0,Trace Evidence
crime scene showed dna sample collected,1,Biological Evidence
forensics confirmed illegal firearm found in suspects car,2,Weaponry
investigators found toxicology confirms deliberate poisoning,1,Biological Evidence
lab results revealed unknown biological fluid on the bedsheets,1,Biological Evidence
evidence suggests digital evidence recovered,3,Digital Evidence
forced entry,0,Trace Evidence
poison detected in the wine glass,1,Biological Evidence
weapon at scene,2,Weaponry
chemical evidence,1,Biological Evidence
crime scene showed online transaction suspicious,3,Digital Evidence
crime scene showed calendar page torn off,0,Trace Evidence
evidence suggests large amounts of stolen money,3,Digital Evidence
detective uncovered blood spatter pattern on the wall,1,Biological Evidence
credit card fraud,3,Digital Evidence
torn piece of fabric on the fence,0,Trace Evidence
blood at scene,1,Biological Evidence
officers noticed there is blood on the floor,1,Biological Evidence
detective uncovered they found a gun,2,Weaponry
evidence suggests explosive device found,2,Weaponry
evidence suggests muddy footprints near the window,0,Trace Evidence
forensics confirmed missing pen from the desk,0,Trace Evidence
detective uncovered marks on the floor,0,Trace Evidence
crime scene showed poison was used,1,Biological Evidence
officers noticed dust disturbed on the shelf,0,Trace Evidence
forensics confirmed dna match confirmed,1,Biological Evidence
officers noticed they committed fraud,3,Digital Evidence
officers noticed blood was found at the scene,1,Biological Evidence
lab results revealed broken coffee mug on the floor,0,Trace Evidence
blood at scene,1,Biological Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
dna found,1,Biological Evidence
evidence suggests bloody knife found in the dumpster,2,Weaponry
evidence suggests open window in the hallway,0,Trace Evidence
crime scene showed emails were deleted,3,Digital Evidence
officers noticed muddy footprints near the window,0,Trace Evidence
crime scene showed suspects dna found under victims fingernails,1,Biological Evidence
forensics confirmed secret compartment found with stolen documents,3,Digital Evidence
forensics confirmed rifle discovered,2,Weaponry
officers noticed open window in the hallway,0,Trace Evidence
evidence suggests saliva found on the discarded cigarette,1,Biological Evidence
officers noticed evidence of money fraud on the computer,3,Digital Evidence
chemical evidence,1,Biological Evidence
muddy footprints near the window,0,Trace Evidence
investigators found blood on the wall,1,Biological Evidence
detective uncovered victim poisoned with rare toxin,1,Biological Evidence
officers noticed chemical substance found,1,Biological Evidence
toxin detected,1,Biological Evidence
evidence suggests spent shell casings found at the scene,2,Weaponry
suspect armed,2,Weaponry
he shot the victim,2,Weaponry
evidence suggests trail of footsteps,0,Trace Evidence
evidence suggests assault with a deadly weapon,2,Weaponry
detective uncovered chemical substance found,1,Biological Evidence
forensics confirmed pistol found at scene,2,Weaponry
lab results revealed unlocked back door,0,Trace Evidence
investigators found explosive device found,2,Weaponry
lab results revealed illegal firearm found in suspects car,2,Weaponry
gunshot wound,2,Weaponry
blood at scene,1,Biological Evidence
financial crime,3,Digital Evidence
evidence suggests explosive device found,2,Weaponry
fraud detected,3,Digital Evidence
footprints found,0,Trace Evidence
lab results revealed suspect passport shows false identity,3,Digital Evidence
detective uncovered explosive device found,2,Weaponry
evidence suggests phone records found,3,Digital Evidence
missing pen from the desk,0,Trace Evidence
detective uncovered traces of poison,1,Biological Evidence
evidence suggests window was broken,0,Trace Evidence
evidence suggests she had a knife,2,Weaponry
crime scene showed arsenic found in the victims tea,1,Biological Evidence
evidence suggests bank account was hacked,3,Digital Evidence
detective uncovered scratches on the door lock,0,Trace Evidence
fraud detected,3,Digital Evidence
officers noticed unauthorized bank transfer at 3 AM,3,Digital Evidence
lab results revealed dna match confirmed,1,Biological Evidence
crime scene showed footprints at the scene,0,Trace Evidence
door was open,0,Trace Evidence
evidence suggests he attacked with a weapon,2,Weaponry
chemical evidence,1,Biological Evidence
crime scene showed calendar page torn off,0,Trace Evidence
evidence suggests victim life insurance recently increased,3,Digital Evidence
crime scene showed open window in the hallway,0,Trace Evidence
investigators found toxin detected,1,Biological Evidence
officers noticed encrypted messages found on suspects phone,3,Digital Evidence
investigators found overturned chair in the kitchen,0,Trace Evidence
evidence suggests they found a gun,2,Weaponry
crime scene showed hidden camera recorded the crime,3,Digital Evidence
detective uncovered saliva found on the discarded cigarette,1,Biological Evidence
officers noticed missing pen from the desk,0,Trace Evidence
forensics confirmed arsenic found in the victims tea,1,Biological Evidence
lab results revealed dna evidence found,1,Biological Evidence
investigators found hair sample matches suspect dna profile,1,Biological Evidence
evidence suggests financial fraud linked to suspects account,3,Digital Evidence
lab results revealed toxicology confirms deliberate poisoning,1,Biological Evidence
lab results revealed unlocked back door,0,Trace Evidence
assault with a deadly weapon,2,Weaponry
crime scene showed bank account was hacked,3,Digital Evidence
forensics confirmed victim life insurance recently increased,3,Digital Evidence
chemical evidence,1,Biological Evidence
lab results revealed he stole money,3,Digital Evidence
crime scene showed object out of place,0,Trace Evidence
crime scene showed he shot the victim,2,Weaponry
victim poisoned,1,Biological Evidence
investigators found gun was discovered,2,Weaponry
officers noticed suspect passport shows false identity,3,Digital Evidence
officers noticed secret compartment found with stolen documents,3,Digital Evidence
evidence suggests victim had been drugged,1,Biological Evidence
officers noticed massive credit card fraud detected,3,Digital Evidence
detective uncovered emails were deleted,3,Digital Evidence
evidence suggests explosive residue on suspects jacket,2,Weaponry
victim was poisoned,1,Biological Evidence
officers noticed unlocked back door,0,Trace Evidence
lab results revealed blood everywhere,1,Biological Evidence
evidence suggests blood everywhere,1,Biological Evidence
detective uncovered displaced rug near the fireplace,0,Trace Evidence
investigators found wet umbrella near the coat rack,0,Trace Evidence
forensics confirmed explosive residue on suspects jacket,2,Weaponry
investigators found dna sample collected,1,Biological Evidence
lab results revealed clues found near the entrance,0,Trace Evidence
evidence suggests dust disturbed on the shelf,0,Trace Evidence
evidence suggests gun was discovered,2,Weaponry
officers noticed victim poisoned with rare toxin,1,Biological Evidence
lab results revealed trail of footsteps,0,Trace Evidence
lab results revealed chair knocked over,0,Trace Evidence
money was stolen,3,Digital Evidence
officers noticed blood on the wall,1,Biological Evidence
officers noticed suspect passport shows false identity,3,Digital Evidence
lab results revealed blood spatter pattern on the wall,1,Biological Evidence
dna evidence found,1,Biological Evidence
forensics confirmed explosive residue on suspects jacket,2,Weaponry
they found a gun,2,Weaponry
detective uncovered bomb was planted,2,Weaponry
lab results revealed victim was blackmailing the suspect via email,3,Digital Evidence
money fraud,3,Digital Evidence
forensics confirmed arsenic found in the victims tea,1,Biological Evidence
forensics confirmed victim life insurance recently increased,3,Digital Evidence
evidence suggests broken coffee mug on the floor,0,Trace Evidence
forensics confirmed fraud was committed,3,Digital Evidence
officers noticed he is armed with a gun,2,Weaponry
detective uncovered data was stolen,3,Digital Evidence
crime scene showed large amounts of stolen money,3,Digital Evidence
bloody knife found in the dumpster,2,Weaponry
money was stolen,3,Digital Evidence
lab results revealed object out of place,0,Trace Evidence
dust disturbed on the shelf,0,Trace Evidence
crime scene showed encrypted messages found on suspects phone,3,Digital Evidence
victim poisoned,1,Biological Evidence
lab results revealed blood stains found on the kitchen floor,1,Biological Evidence
traces of chloroform on the rag,1,Biological Evidence
fraud detected,3,Digital Evidence
blood on floor,1,Biological Evidence
crime scene showed clues found near the entrance,0,Trace Evidence
crime scene showed data was stolen,3,Digital Evidence
money was stolen,3,Digital Evidence
object out of place,0,Trace Evidence
evidence suggests encrypted messages found on suspects phone,3,Digital Evidence
forensics confirmed large amounts of stolen money,3,Digital Evidence
detective uncovered large amounts of stolen money,3,Digital Evidence
officers noticed spent shell casings found at the scene,2,Weaponry
crime scene showed stabbed with a knife,2,Weaponry
detective uncovered arsenic found in the victims tea,1,Biological Evidence
lab results revealed chemical substance found,1,Biological Evidence
murder weapon hidden under floorboards,2,Weaponry
evidence suggests cigarette butt near the entrance,0,Trace Evidence
officers noticed victim strangled with a rope,2,Weaponry
evidence suggests digital evidence recovered,3,Digital Evidence
investigators found a loaded gun was found,2,Weaponry
evidence suggests spent shell casings found at the scene,2,Weaponry
forensics confirmed suspects fingerprints on the murder weapon,2,Weaponry
investigators found emails were deleted,3,Digital Evidence
footprints found,0,Trace Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
evidence suggests blood stains found on the kitchen floor,1,Biological Evidence
lab results revealed suspects dna found under victims fingernails,1,Biological Evidence
money was stolen,3,Digital Evidence
forensics confirmed biological material recovered,1,Biological Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
officers noticed overturned chair in the kitchen,0,Trace Evidence
lab results revealed she pulled out a gun,2,Weaponry
forensics confirmed victim was blackmailing the suspect via email,3,Digital Evidence
investigators found muddy footprints near the window,0,Trace Evidence
investigators found hacked into the system,3,Digital Evidence
window broken,0,Trace Evidence
forensics confirmed data was stolen,3,Digital Evidence
bank fraud,3,Digital Evidence
signs of struggle,0,Trace Evidence
forensics confirmed money was stolen,3,Digital Evidence
detective uncovered heavy blunt object with blood found,2,Weaponry
investigators found misplaced keys on the kitchen counter,0,Trace Evidence
officers noticed camera footage exists,3,Digital Evidence
she pulled out a gun,2,Weaponry
window broken,0,Trace Evidence
door was open,0,Trace Evidence
investigators found bloody knife found in the dumpster,2,Weaponry
crime scene showed firearm recovered,2,Weaponry
detective uncovered victim poisoned with rare toxin,1,Biological Evidence
investigators found dust disturbed on the shelf,0,Trace Evidence
officers noticed misplaced keys on the kitchen counter,0,Trace Evidence
investigators found he shot the victim,2,Weaponry
crime scene showed poison detected in the wine glass,1,Biological Evidence
investigators found suspects dna found under victims fingernails,1,Biological Evidence
lab results revealed victim shows signs of blunt force trauma,2,Weaponry
trail of footsteps,0,Trace Evidence
officers noticed suspects dna found under victims fingernails,1,Biological Evidence
evidence suggests toxicology confirms deliberate poisoning,1,Biological Evidence
credit card fraud,3,Digital Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
officers noticed saliva found on the discarded cigarette,1,Biological Evidence
chair knocked over,0,Trace Evidence
officers noticed embezzled funds and money fraud,3,Digital Evidence
forensics confirmed evidence of money fraud on the computer,3,Digital Evidence
lab results revealed toxin detected,1,Biological Evidence
detective uncovered cigarette butt near the entrance,0,Trace Evidence
lab results revealed unauthorized bank transfer at 3 AM,3,Digital Evidence
lab results revealed rifle discovered,2,Weaponry
bank fraud,3,Digital Evidence
investigators found deleted text messages recovered from victims phone,3,Digital Evidence
officers noticed explosive residue on suspects jacket,2,Weaponry
toxin detected,1,Biological Evidence
crime scene showed chair knocked over,0,Trace Evidence
crime scene showed blood on the wall,1,Biological Evidence
blood on floor,1,Biological Evidence
chair knocked over,0,Trace Evidence
crime scene showed data was stolen,3,Digital Evidence
forensics confirmed blood on the wall,1,Biological Evidence
window broken,0,Trace Evidence
detective uncovered large amounts of stolen money,3,Digital Evidence
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
evidence suggests clues found near the entrance,0,Trace Evidence
detective uncovered pistol found at scene,2,Weaponry
forensics confirmed he is armed with a gun,2,Weaponry
officers noticed calendar page torn off,0,Trace Evidence
detective uncovered camera footage exists,3,Digital Evidence
lab results revealed suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered marks on the floor,0,Trace Evidence
crime scene showed assault with a deadly weapon,2,Weaponry
detective uncovered chair knocked over,0,Trace Evidence
officers noticed there is blood on the floor,1,Biological Evidence
evidence suggests scratches on the door lock,0,Trace Evidence
bank fraud,3,Digital Evidence
investigators found blood stains found on the kitchen floor,1,Biological Evidence
crime scene showed cigarette butt near the entrance,0,Trace Evidence
weapon at scene,2,Weaponry
evidence suggests misplaced keys on the kitchen counter,0,Trace Evidence
forensics confirmed bomb was planted,2,Weaponry
evidence suggests blood on the wall,1,Biological Evidence
officers noticed large amounts of stolen money,3,Digital Evidence
chemical evidence,1,Biological Evidence
officers noticed there is blood on the floor,1,Biological Evidence
firearm recovered,2,Weaponry
hidden camera recorded the crime,3,Digital Evidence
investigators found massive credit card fraud detected,3,Digital Evidence
blood found,1,Biological Evidence
crime scene showed blood stains found on the kitchen floor,1,Biological Evidence
investigators found misplaced keys on the kitchen counter,0,Trace Evidence
forensics confirmed chemical substance found,1,Biological Evidence
online transaction suspicious,3,Digital Evidence
crime scene showed suspects dna found under victims fingernails,1,Biological Evidence
chemical evidence,1,Biological Evidence
lab results revealed object out of place,0,Trace Evidence
weapon at scene,2,Weaponry
officers noticed gun was discovered,2,Weaponry
lab results revealed dna match confirmed,1,Biological Evidence
forensics confirmed victim strangled with a rope,2,Weaponry
